Name,Position,Goals,Assists,Shots,Shots on target,Shooting accuracy %,Big chances created,Big chances missed,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored
Shani Tarashaj ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Telford ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Toivonen ,Forward,0,2,7.0,1.0,14%,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lee Tomlin ,Forward,0,0,5.0,3.0,60%,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Toney ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Torres ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Traoré ,Forward,0,1,2.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Ulloa ,Forward,6,2,33.0,10.0,30%,2.0,5.0,2.0,3.0,1.0,1.0,0.0
Enes Ünal ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky van Wolfswinkel ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Vardy ,Forward,24,6,115.0,53.0,46%,11.0,22.0,2.0,18.0,4.0,5.0,0.0
Víctor Ibarbo ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matej Vydra ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Walcott ,Forward,5,2,45.0,22.0,49%,2.0,11.0,0.0,3.0,2.0,0.0,0.0
Jonathan Walters ,Forward,5,3,32.0,13.0,41%,4.0,4.0,1.0,4.0,0.0,0.0,0.0
Duncan Watmore ,Forward,3,1,14.0,8.0,57%,1.0,2.0,0.0,2.0,1.0,0.0,0.0
Danny Welbeck ,Forward,4,2,20.0,11.0,55%,1.0,3.0,2.0,2.0,0.0,0.0,0.0
Connor Wickham ,Forward,5,3,34.0,9.0,26%,1.0,4.0,0.0,2.0,3.0,1.0,0.0
Willian ,Forward,5,6,60.0,20.0,33%,9.0,2.0,0.0,4.0,1.0,0.0,2.0
Chris Willock ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Wilson ,Forward,5,0,17.0,8.0,47%,2.0,0.0,0.0,5.0,0.0,1.0,0.0
Wilfried Zaha ,Forward,2,1,32.0,9.0,28%,6.0,3.0,0.0,2.0,0.0,0.0,0.0
Mauro Zárate ,Forward,3,0,29.0,11.0,38%,1.0,1.0,0.0,3.0,0.0,0.0,1.0
