Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Harry Arter ,Midfielder,1,0,"1,034",49.24,1.0,7.0,57%,5.0,80.0,57.0,25.0,118.0,103.0,109.0
Mikel Arteta ,Midfielder,0,0,132,14.67,1.0,0.0,0%,1.0,7.0,8.0,7.0,17.0,20.0,15.0
Christian Atsu ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Bacuna ,Midfielder,1,0,"1,133",36.55,2.0,92.0,23%,2.0,93.0,48.0,56.0,157.0,110.0,124.0
Barry Bannan ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Barkley ,Midfielder,8,8,"1,802",47.42,11.0,110.0,22%,19.0,103.0,34.0,17.0,186.0,250.0,228.0
Daniel Barlaser ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth Barry ,Midfielder,0,1,"2,061",62.45,3.0,33.0,27%,5.0,185.0,96.0,54.0,239.0,193.0,140.0
Valon Behrami ,Midfielder,0,1,508,24.19,1.0,3.0,67%,1.0,9.0,66.0,49.0,96.0,100.0,103.0
Ismael Bennacer ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Bentaleb ,Midfielder,0,0,97,19.4,0.0,0.0,0%,0.0,2.0,2.0,2.0,10.0,8.0,8.0
Muhamed Besic ,Midfielder,0,0,337,28.08,1.0,6.0,17%,1.0,23.0,26.0,9.0,45.0,47.0,33.0
Gael Bigirimana ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Blackett-Taylor ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiram Boateng ,Midfielder,0,0,4,4.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,3.0,0.0,4.0
Robbie Brady ,Midfielder,3,2,"1,138",31.61,7.0,243.0,25%,4.0,75.0,101.0,57.0,185.0,211.0,169.0
Cameron Brannagan ,Midfielder,0,0,124,41.33,1.0,6.0,33%,0.0,4.0,5.0,2.0,9.0,7.0,9.0
Liam Bridcutt ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Britton ,Midfielder,0,0,"1,000",40.0,0.0,2.0,0%,1.0,16.0,41.0,62.0,138.0,84.0,80.0
